City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Nome,US,64.50,-165.41,39.27,87,100,9.22,overcast clouds
109,Bengkulu,ID,-3.80,102.27,76.39,90,100,5.14,overcast clouds
110,Carnarvon,AU,-24.87,113.63,65.84,74,13,21.63,few clouds
111,Lebu,CL,-37.62,-73.65,48.83,67,38,2.39,scattered clouds
112,Khatanga,RU,71.97,102.50,22.26,90,93,7.49,overcast clouds
113,Otradnoye,RU,59.78,30.82,55.45,83,100,3.53,overcast clouds
114,High Level,CA,58.52,-117.14,28.51,100,40,2.30,smoke
115,Port Elizabeth,ZA,-33.92,25.57,67.10,62,20,8.05,few clouds
116,Comodoro Rivadavia,AR,-45.87,-67.50,44.46,100,100,14.97,moderate rain
117,Souillac,MU,-20.52,57.52,70.18,83,75,3.44,light rain
118,Nara,JP,34.69,135.80,67.50,52,100,6.22,overcast clouds
119,Mar Del Plata,AR,-38.00,-57.56,51.94,61,0,14.00,clear sky
120,Dikson,RU,73.51,80.55,32.81,74,99,14.29,overcast clouds
121,Touros,BR,-5.20,-35.46,82.53,63,66,17.18,broken clouds
122,Avarua,CK,-21.21,-159.78,71.65,88,75,10.36,moderate rain
123,Egvekinot,RU,66.32,-179.17,34.02,87,64,5.17,broken clouds
124,Anchorage,US,61.22,-149.90,49.86,95,100,5.75,light rain
125,Saskylakh,RU,71.92,114.08,26.65,95,96,17.76,overcast clouds
126,Pevek,RU,69.70,170.31,32.34,73,2,10.02,clear sky
127,Lasa,IT,46.62,10.70,67.08,33,3,5.37,clear sky
128,Miranda,CO,3.25,-76.23,66.33,85,100,2.71,overcast clouds
129,Padang,ID,-0.95,100.35,78.85,84,100,2.42,overcast clouds
130,Kaitangata,NZ,-46.28,169.85,48.49,97,100,3.62,overcast clouds
131,Campbell River,CA,50.02,-125.24,54.45,100,0,2.30,clear sky
132,Provideniya,RU,64.38,-173.30,37.72,78,33,2.84,scattered clouds
133,Sola,VU,-13.88,167.55,80.24,77,56,18.84,broken clouds
134,Klaksvik,FO,62.23,-6.59,52.72,99,100,9.75,overcast clouds
135,Green River,US,41.53,-109.47,55.80,23,7,2.93,clear sky
136,Fortuna,US,40.60,-124.16,55.74,91,99,1.01,overcast clouds
137,Te Anau,NZ,-45.42,167.72,43.03,95,82,1.59,broken clouds
138,Coahuayana,MX,18.73,-103.68,74.52,94,100,2.66,overcast clouds
139,Tiksi,RU,71.69,128.87,34.30,83,100,13.33,light snow
140,Koslan,RU,63.46,48.90,49.19,91,100,13.04,moderate rain
141,Port Blair,IN,11.67,92.75,82.44,74,75,5.75,mist
142,Santa Maria,BR,-29.68,-53.81,65.50,68,40,3.44,scattered clouds
143,Turan,VN,16.07,108.22,85.98,70,20,2.30,few clouds
144,Cabo San Lucas,MX,22.89,-109.91,80.06,89,89,4.00,overcast clouds
145,Mao,ES,39.89,4.27,79.36,41,20,14.97,few clouds
146,Platanos,GR,37.67,21.62,80.56,56,2,9.46,clear sky
147,Cleethorpes,GB,53.56,-0.03,66.45,57,100,3.47,overcast clouds
148,Ararat,AM,39.83,44.70,91.74,10,6,3.06,clear sky
149,Kalaleh,IR,37.38,55.49,91.76,38,0,6.91,clear sky
150,Kralendijk,BQ,12.15,-68.27,85.98,74,75,6.91,broken clouds
151,Qaanaaq,GL,77.48,-69.36,21.90,60,100,6.91,overcast clouds
152,Moju,BR,-1.88,-48.77,91.99,48,14,5.06,few clouds
153,Ancud,CL,-41.87,-73.82,48.22,80,91,3.02,overcast clouds
154,Pedro Juan Caballero,PY,-22.55,-55.73,66.16,82,100,9.22,overcast clouds
155,Povenets,RU,62.85,34.83,50.32,85,100,17.58,overcast clouds
156,Portland,US,45.52,-122.68,61.20,75,20,3.44,few clouds
157,Mut,TR,36.64,33.44,86.05,29,8,12.82,clear sky
158,Itaobim,BR,-16.57,-41.83,85.50,41,31,5.50,scattered clouds
159,Dawlatabad,AF,36.41,64.91,82.69,16,0,7.40,clear sky
160,Havoysund,NO,71.00,24.66,43.03,66,99,14.16,overcast clouds
161,Arenal,CO,8.46,-73.94,81.75,68,100,2.01,overcast clouds
162,Hasaki,JP,35.73,140.83,63.28,88,100,26.69,overcast clouds
163,Tsabong,BW,-26.02,22.40,68.88,19,0,11.86,clear sky
164,Saint-Philippe,RE,-21.36,55.77,72.99,82,37,14.09,scattered clouds
165,New Norfolk,AU,-42.78,147.06,54.91,70,100,1.01,overcast clouds
166,Limbang,MY,4.75,115.00,80.06,96,81,2.10,light rain
167,Moron,AR,-34.65,-58.62,58.01,64,97,6.22,overcast clouds
168,Christchurch,NZ,-43.53,172.63,49.91,85,98,9.22,overcast clouds
169,Broken Hill,AU,-31.95,141.43,62.58,73,95,25.10,overcast clouds
170,Carutapera,BR,-1.20,-46.02,83.16,73,92,9.51,overcast clouds
171,Russell,US,32.35,-85.20,82.96,53,0,3.58,clear sky
172,Berlevag,NO,70.86,29.09,42.80,75,100,16.11,light rain
173,Mana,GF,5.66,-53.78,86.45,62,41,7.92,scattered clouds
174,Vanino,RU,49.09,140.25,40.66,58,0,12.19,clear sky
175,Rincon,US,32.30,-81.24,83.86,85,0,5.75,clear sky
176,Diamantina,BR,-18.25,-43.60,79.48,41,10,7.38,clear sky
177,Lexington,US,37.99,-84.48,77.00,82,0,4.61,clear sky
178,Beeville,US,28.40,-97.75,80.62,100,0,3.44,clear sky
179,Bluff,NZ,-46.60,168.33,46.80,87,88,4.94,overcast clouds
180,Lorengau,PG,-2.02,147.27,80.47,81,100,7.11,overcast clouds
181,Samandag,TR,36.08,35.98,84.72,73,4,10.00,clear sky
182,Shingu,JP,33.73,135.98,64.89,74,100,6.08,overcast clouds
183,Chicama,PE,-7.84,-79.15,59.54,74,64,6.71,broken clouds
184,Sijunjung,ID,-0.69,100.95,72.93,96,100,1.45,moderate rain
185,Ponta Delgada,PT,37.73,-25.67,75.92,73,20,8.05,few clouds
186,Palmer,US,42.16,-72.33,70.97,80,75,5.75,mist
187,Longyearbyen,SJ,78.22,15.64,33.64,86,75,27.63,light rain and snow
188,Maltahohe,NA,-24.83,16.98,65.53,13,0,16.80,clear sky
189,Danjiangkou,CN,32.54,111.51,61.52,89,100,5.01,overcast clouds
190,Urumqi,CN,43.80,87.60,67.15,24,0,2.24,clear sky
191,West Wendover,US,40.74,-114.07,56.41,44,0,8.05,clear sky
192,Corinto,GR,37.94,22.96,79.90,32,0,4.27,clear sky
193,Bilibino,RU,68.05,166.44,29.37,76,95,6.24,overcast clouds
194,Antofagasta,CL,-23.65,-70.40,58.28,63,22,10.87,few clouds
195,Mackay,AU,-21.15,149.20,73.69,89,33,6.76,scattered clouds
196,Asyut,EG,27.18,31.18,94.89,13,0,17.25,clear sky
197,Flinders,AU,-34.58,150.86,60.39,75,99,8.08,overcast clouds
198,Port Macquarie,AU,-31.43,152.92,56.89,81,100,7.99,overcast clouds
199,Porvoo,FI,60.39,25.67,53.24,78,100,8.37,overcast clouds
200,Kendari,ID,-3.94,122.50,75.36,92,3,2.28,clear sky
201,Tasiilaq,GL,65.61,-37.64,42.96,98,100,11.21,light rain
202,Bend,US,44.06,-121.32,54.36,81,40,7.00,light intensity drizzle
203,La Ronge,CA,55.10,-105.28,52.05,93,100,4.61,overcast clouds
204,Yaan,NG,7.38,8.57,81.48,74,97,1.81,light rain
205,Yerbogachen,RU,61.28,108.01,40.93,97,100,4.05,light rain
206,Cape Coast,GH,5.11,-1.25,77.61,84,84,14.65,light rain
207,Blythe,US,33.61,-114.60,80.04,43,0,3.44,clear sky
208,Joshimath,IN,30.57,79.57,69.12,91,83,1.03,broken clouds
209,Awbari,LY,26.59,12.78,101.77,8,0,9.51,clear sky
210,Luanda,AO,-8.84,13.23,75.43,73,8,13.82,clear sky
211,Brovst,DK,57.10,9.53,63.34,47,0,6.91,clear sky
212,Mtimbira,TZ,-8.78,36.35,89.38,36,1,7.72,clear sky
213,Iqaluit,CA,63.75,-68.51,38.93,80,100,0.00,overcast clouds
214,Taoudenni,ML,22.68,-3.98,111.81,8,0,16.62,clear sky
215,Doka,SD,13.52,35.77,82.67,73,91,6.89,overcast clouds
216,Suclayin,PH,15.76,121.55,76.95,92,99,2.93,moderate rain
217,Eureka,US,40.80,-124.16,58.75,92,100,1.01,overcast clouds
218,Bridlington,GB,54.08,-0.19,65.89,70,100,5.19,overcast clouds
219,Plettenberg Bay,ZA,-34.05,23.37,61.02,68,13,4.68,few clouds
220,Sanchor,IN,24.76,71.77,85.26,58,98,9.28,overcast clouds
221,Sobolevo,RU,54.43,31.90,55.96,73,33,6.20,scattered clouds
222,Pangnirtung,CA,66.15,-65.71,35.80,74,17,7.40,few clouds
223,Rio Cuarto,AR,-33.13,-64.35,46.17,71,75,9.22,broken clouds
224,Lingdong,CN,46.57,131.15,40.64,59,0,7.40,clear sky
225,Corrales,US,35.24,-106.61,74.25,66,75,5.01,broken clouds
226,Maralal,KE,1.10,36.70,73.67,38,100,10.56,overcast clouds
227,Faanui,PF,-16.48,-151.75,77.86,74,9,14.54,light rain
228,Wolgast,DE,54.05,13.77,59.02,58,10,10.96,clear sky
229,Seoni,IN,22.08,79.53,74.01,90,98,9.60,overcast clouds
230,Saint-Georges,GD,12.06,-61.75,85.01,70,67,13.38,broken clouds
231,Waingapu,ID,-9.66,120.26,77.50,74,16,6.11,few clouds
232,Namibe,AO,-15.20,12.15,68.54,71,4,10.31,clear sky
233,Porto Novo,BJ,6.50,2.60,80.42,66,51,11.16,broken clouds
234,Kindu,CD,-2.95,25.95,88.88,50,73,2.04,broken clouds
235,Isangel,VU,-19.55,169.27,74.52,88,5,7.67,clear sky
236,Zalantun,CN,48.00,122.72,48.94,36,86,4.50,overcast clouds
237,Luang Prabang,LA,19.89,102.13,74.48,94,67,1.23,broken clouds
238,Sao Filipe,CV,14.90,-24.50,79.70,74,18,9.08,few clouds
239,Jumla,NP,29.27,82.18,62.64,92,98,3.13,overcast clouds
240,Carsamba,TR,41.20,36.72,73.15,68,75,6.91,broken clouds
241,Bakchar,RU,57.02,82.07,47.86,85,86,3.18,overcast clouds
242,Nanortalik,GL,60.14,-45.24,41.40,92,97,11.52,overcast clouds
243,Qaqortoq,GL,60.72,-46.03,44.46,77,81,4.61,broken clouds
244,Yar-Sale,RU,66.83,70.83,42.75,95,100,25.81,light rain
245,Tautira,PF,-17.73,-149.15,77.38,73,23,15.82,light rain
246,Caravelas,BR,-17.71,-39.25,78.37,60,98,7.05,overcast clouds
247,Mayo,US,38.89,-76.51,79.34,67,0,4.61,clear sky
248,Celestun,MX,20.87,-90.40,80.17,78,4,6.60,clear sky
249,Yelovo,RU,57.05,54.92,60.76,61,100,8.21,overcast clouds
