City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Laguna,US,61.75,mist,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
371,Half Moon Bay,US,60.85,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
379,North Bend,US,57.07,overcast clouds,43.41,-124.22,Red Lion Hotel Coos Bay
381,Grudziadz,PL,61.0,overcast clouds,53.48,18.75,VILLA Grudziądz
390,Bandipur,NP,69.93,scattered clouds,27.93,84.42,Bandipur Guest House
391,West Calder,GB,66.22,overcast clouds,55.85,-3.57,Limefield House
396,Sitka,US,53.49,overcast clouds,57.05,-135.33,Westmark Sitka
406,Jonkoping,SE,58.39,scattered clouds,57.78,14.16,Scandic Portalen
408,Yulara,AU,61.03,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
409,Cidreira,BR,65.86,broken clouds,-30.18,-50.21,Hotel Castelo
413,Busko-Zdroj,PL,58.78,light rain,50.47,20.72,Gromada
418,Nelson Bay,AU,63.0,overcast clouds,-32.72,152.15,Mantra Nelson Bay
422,Rio Grande,BR,64.51,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
426,Atasu,KZ,66.06,scattered clouds,48.68,71.64,Dostyk
427,Hofn,IS,52.11,clear sky,64.25,-15.21,Hótel Höfn
429,Tevriz,RU,62.71,few clouds,57.51,72.4,Tevrizpromstroykomplekt
431,Slavyanka,RU,50.76,clear sky,42.86,131.38,"Gostevoy Dom, ""Nattalika"""
435,Port Lincoln,AU,56.41,overcast clouds,-34.73,135.87,Port Lincoln Hotel
437,Rezekne,LV,54.48,overcast clouds,56.5,27.32,Hotel Latgale Hotel
439,Podares,MK,67.96,clear sky,41.61,22.54,Viktor semeto
445,Ketchikan,US,52.27,clear sky,55.34,-131.65,Snow's Cove Lodge
448,Curitibanos,BR,61.09,overcast clouds,-27.28,-50.58,Tortato Palace Hotel
462,Zheleznodorozhnyy,RU,57.38,scattered clouds,55.75,38.0,Hotel Dali
463,Chapais,CA,51.58,overcast clouds,49.78,-74.85,Hôtel Opémiska
464,Pitea,SE,50.09,clear sky,65.32,21.48,Piteå Stadshotell
469,Kosa,RU,57.76,clear sky,59.94,55.0,Gostinitsa V Kose
471,Umea,SE,53.53,clear sky,63.83,20.26,Hotel Avenue | ProfilHotels
475,Starosubkhangulovo,RU,63.48,clear sky,53.1,57.44,"Gostinichnyy Kompleks ""Yulbars"""
490,Albanel,CA,51.94,overcast clouds,48.88,-72.45,Camping municipal d'Albanel
496,Ayr,GB,67.32,scattered clouds,55.46,-4.63,Mercure Ayr Hotel
497,Coolum Beach,AU,65.34,clear sky,-26.53,153.1,Coolum Beach Resort
499,Xixiang,CN,65.01,overcast clouds,35.16,112.86,Hongchang Rest House
502,General Roca,AR,56.62,few clouds,-39.03,-67.58,Hotel El Recreo
512,Nemuro,JP,56.05,overcast clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
515,Roseburg,US,59.38,broken clouds,43.22,-123.34,"Holiday Inn Express Roseburg, an IHG Hotel"
517,Trn,BA,65.91,scattered clouds,44.86,17.24,Hotel Vila Viktorija
519,Xining,CN,54.86,scattered clouds,36.62,101.77,Super Leisure Hotel
525,Hualmay,PE,62.47,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
535,Sparks,US,53.65,broken clouds,39.53,-119.75,Nugget Casino Resort
537,Toguchin,RU,51.85,overcast clouds,55.24,84.39,Stolitsa
538,Marystown,CA,54.86,scattered clouds,47.17,-55.15,Marystown Hotel & Convention Centre
539,Brae,GB,56.5,overcast clouds,60.4,-1.35,Busta House Hotel
542,Werdau,DE,59.11,broken clouds,50.73,12.38,Hotel Friesen
543,Port Hedland,AU,64.45,clear sky,-20.32,118.57,The Esplanade Hotel
549,Darhan,MN,51.22,scattered clouds,49.49,105.92,Buudai Hotel
550,Westerland,DE,62.02,few clouds,54.91,8.3,Dorint Strandresort & Spa Westerland / Sylt
554,Kenora,CA,61.77,broken clouds,49.82,-94.43,Maynard Lake Lodge
555,Talara,PE,65.16,scattered clouds,-4.58,-81.27,Hostal Oro Negro
558,Mendi,PG,54.37,overcast clouds,-6.18,143.65,Kiburu Lodge
561,Port Augusta,AU,56.77,overcast clouds,-32.5,137.77,Majestic Oasis Apartments
569,New Glasgow,CA,54.79,light rain,45.58,-62.65,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
